ESTACAO,DATA,ANO,rain_max,rad_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg
A807,2015-01-01,2015,5.6,3415.7,22.941666666666663,28.4,19.2,91.0,53.0,14.7,2.5458333333333334
A807,2015-01-02,2015,0.4,3698.0,23.516666666666666,30.2,20.7,80.0,45.0,17.4,3.395833333333333
A807,2015-01-03,2015,0.2,1486.5,19.875,21.9,18.2,93.0,75.0,6.5,1.825
A807,2015-01-04,2015,8.0,2729.5,20.870833333333334,26.9,17.8,95.0,51.0,7.6,1.5416666666666667
A807,2015-01-05,2015,12.2,3546.8,20.8125,27.1,17.7,96.0,57.0,9.7,1.7958333333333334
A807,2015-01-06,2015,33.6,3939.0,22.675,30.7,17.0,96.0,35.0,18.9,1.4375
A807,2015-01-07,2015,0.4,3425.0,22.85,28.3,19.2,94.0,53.0,13.1,1.575
A807,2015-01-08,2015,4.4,3695.2,23.254166666666663,30.1,19.9,84.0,43.0,7.9,1.4291666666666665
A807,2015-01-09,2015,0.0,4083.0,24.075,31.2,18.7,94.0,39.0,11.0,2.2625
A807,2015-01-10,2015,0.8,3418.8,23.8125,30.7,20.5,82.0,42.0,9.4,1.3083333333333331
A807,2015-01-11,2015,17.8,3870.4,23.52083333333333,31.4,19.0,95.0,40.0,13.2,1.1083333333333334
A807,2015-01-12,2015,0.0,3858.3,25.816666666666663,33.6,19.9,93.0,26.0,9.7,1.5916666666666668
A807,2015-01-13,2015,0.4,3554.7,24.554166666666664,31.6,19.9,86.0,35.0,8.8,1.8583333333333327
A807,2015-01-14,2015,3.8,3569.7,23.620833333333334,31.3,17.6,93.0,36.0,11.7,2.35
A807,2015-01-15,2015,0.4,3779.4,24.129166666666663,30.9,19.7,80.0,39.0,8.0,1.675
A807,2015-01-16,2015,0.0,3705.2,24.65416666666667,32.6,20.6,84.0,37.0,8.7,1.5958333333333332
A807,2015-01-17,2015,0.0,3832.7,26.179166666666664,32.6,22.3,88.0,32.0,9.9,1.7833333333333332
A807,2015-01-18,2015,0.0,3681.6,25.495833333333334,32.4,20.5,84.0,30.0,8.7,1.8208333333333333
A807,2015-01-19,2015,4.0,3844.7,24.15416666666667,33.0,18.8,90.0,34.0,10.8,1.775
A807,2015-01-20,2015,5.8,3731.3,24.45,32.9,19.0,93.0,30.0,14.1,1.3875
A807,2015-01-21,2015,0.6,3093.6,20.8125,27.9,18.1,94.0,52.0,10.2,1.7291666666666667
A807,2015-01-22,2015,0.4,1799.3,19.008333333333333,23.2,17.0,94.0,65.0,9.4,2.970833333333333
A807,2015-01-23,2015,0.4,3001.7,19.45833333333333,24.9,15.4,94.0,47.0,9.5,2.341666666666667
A807,2015-01-24,2015,0.0,3420.2,21.52083333333333,29.8,16.2,93.0,31.0,7.5,1.5875
A807,2015-01-25,2015,1.2,3858.1,22.508333333333336,29.7,18.7,90.0,42.0,10.8,2.025
A807,2015-01-26,2015,0.0,3874.4,22.558333333333334,29.7,16.9,89.0,40.0,11.2,1.6083333333333334
A807,2015-01-27,2015,0.0,3698.9,23.791666666666668,29.5,19.7,86.0,44.0,8.5,1.7791666666666668
A807,2015-01-28,2015,5.6,3138.0,22.604166666666668,27.2,19.3,95.0,55.0,12.3,2.183333333333333
A807,2015-01-29,2015,2.4,2909.8,22.5625,27.2,19.2,92.0,58.0,14.6,3.7083333333333335
A807,2015-01-30,2015,5.8,980.4,18.554166666666667,22.9,15.9,95.0,72.0,7.1,2.1
A807,2015-01-31,2015,0.0,2271.3,18.816666666666663,24.0,16.5,94.0,63.0,6.8,2.175
A807,2015-02-01,2015,0.2,2627.6,20.325,27.3,17.1,94.0,58.0,7.7,1.808333333333333
A807,2015-02-02,2015,0.0,3316.0,21.508333333333336,28.4,17.5,87.0,45.0,9.7,1.35
A807,2015-02-03,2015,8.6,3594.0,21.291666666666668,28.8,17.6,94.0,48.0,11.3,1.325
A807,2015-02-04,2015,28.4,2462.3,19.416666666666668,25.3,17.3,96.0,57.0,6.1,1.075
A807,2015-02-05,2015,5.8,2433.0,18.90833333333333,24.5,17.2,96.0,61.0,8.8,1.2666666666666666
A807,2015-02-06,2015,6.2,3707.5,19.45,26.0,15.7,95.0,45.0,6.8,1.1375
A807,2015-02-07,2015,0.0,3577.4,20.679166666666667,27.7,17.2,90.0,35.0,8.1,1.7583333333333335
A807,2015-02-08,2015,15.8,3562.1,21.495833333333334,28.0,17.0,95.0,43.0,12.6,1.85
A807,2015-02-09,2015,0.8,3757.5,22.89583333333333,30.2,18.0,95.0,35.0,7.5,1.5625
A807,2015-02-10,2015,0.2,3410.2,23.854166666666668,30.1,19.2,94.0,43.0,8.4,1.8958333333333333
A807,2015-02-11,2015,3.6,3131.8,24.22083333333333,29.7,20.7,91.0,48.0,10.2,1.9583333333333333
A807,2015-02-12,2015,1.0,3491.6,23.504166666666663,30.2,21.1,92.0,50.0,13.7,1.9208333333333327
A807,2015-02-13,2015,3.2,3381.0,22.945833333333336,29.2,19.9,94.0,48.0,16.2,1.7125
A807,2015-02-14,2015,12.8,1454.9,19.85833333333333,23.5,17.8,96.0,70.0,8.2,1.2166666666666666
A807,2015-02-15,2015,2.2,1066.4,17.829166666666666,19.3,17.1,97.0,82.0,7.5,1.6625
